player_id,position,oaa_rating,arm_rating,arm_rating_filled
665839,2B,5,,50
665862,2B,83,54,54
665862,CF,62,,50
665923,CF,48,,50
665926,2B,98,92,92
666018,1B,73,57,57
666134,LF,33,,50
666134,RF,15,90,90
666135,1B,4,,50
666139,RF,31,14,14
666149,2B,44,32,32
666149,SS,25,,50
666150,RF,86,,50
666152,2B,64,72,72
666152,SS,25,,50
666158,2B,49,,50
666158,SS,21,,50
666160,CF,56,12,12
666160,RF,10,22,22
666176,CF,3,20,20
666176,LF,30,,50
666176,RF,55,5,5
666181,RF,48,33,33
666182,SS,19,44,44
666185,CF,56,,50
666185,LF,59,18,18
666185,RF,36,,50
666198,3B,1,,50
666397,2B,30,42,42
666624,2B,18,,50
666624,3B,3,,50
666624,LF,22,98,98
666915,1B,30,,50
666969,CF,66,,50
666969,RF,33,76,76
666971,LF,48,40,40
667452,LF,72,,50
667472,CF,56,88,88
668227,LF,34,8,8
668472,1B,18,,50
668709,CF,8,63,63
668715,1B,66,48,48
668715,LF,59,,50
668731,CF,13,,50
668731,LF,75,,50
668751,RF,24,,50
668804,CF,52,,50
668804,LF,27,,50
668804,RF,36,28,28
668901,3B,12,73,73
668904,3B,63,60,60
668930,2B,64,77,77
668942,3B,50,,50
669004,LF,20,,50
669004,RF,15,,50
669016,CF,51,70,70
669016,LF,59,51,51
669065,LF,59,91,91
669222,3B,14,,50
669222,CF,29,,50
669242,2B,94,10,10
669242,3B,93,,50
669242,SS,79,,50
669256,2B,53,,50
669261,CF,35,18,18
669289,2B,94,,50
669289,3B,75,16,16
669304,1B,18,,50
669304,3B,10,,50
669326,CF,90,59,59
669357,2B,10,51,51
669357,3B,5,48,48
669364,2B,94,6,6
669364,SS,8,3,3
669374,2B,5,,50
669394,1B,54,78,78
669394,3B,14,,50
669397,SS,91,69,69
669477,2B,24,82,82
669701,3B,50,,50
669707,3B,71,,50
669720,LF,66,92,92
669743,CF,80,,50
669743,RF,86,49,49
669911,1B,4,28,28
670032,2B,77,,50
670032,SS,99,,50
670042,LF,59,,50
670097,SS,16,54,54
670242,RF,24,95,95
670541,LF,20,,50
670623,3B,45,6,6
670764,SS,28,44,44
670768,RF,24,,50
670770,CF,33,9,9
671213,1B,9,55,55
671218,CF,13,,50
671218,LF,7,45,45
671221,CF,62,32,32
671277,2B,24,60,60
671277,SS,2,,50
671289,CF,13,,50
671289,RF,7,81,81
671732,RF,70,27,27
671739,CF,80,55,55
672016,CF,94,36,36
672279,CF,95,,50
672284,CF,21,,50
672284,LF,51,,50
672356,SS,65,99,99
672580,3B,98,95,95
672640,2B,99,94,94
672640,SS,73,63,63
672695,SS,57,85,85
672724,3B,59,97,97
672761,RF,86,48,48
672820,2B,30,75,75
672820,3B,27,,50
673357,CF,73,21,21
673490,2B,88,,50
673490,SS,80,63,63
673548,RF,39,42,42
673962,3B,89,57,57
